"","lon","lat"
"1",-51.17444722,-29.14158611
"2",-50.16018333,-29.04721389
"3",-50.24805833,-28.99053889
"4",-50.20242222,-28.80619444
"5",-51.09139722,-28.79391111
"6",-50.7779,-28.68526667
"7",-50.43388889,-28.669225
"8",-49.85299722,-28.46196111
"9",-50.86586944,-28.44298889
"10",-50.24805833,-28.41693889
"11",-49.63776667,-28.33816667
"12",-49.94620833,-28.28920833
"13",-52.19099167,-28.28659167
"14",-52.40961389,-28.25803056
"15",-51.16670556,-28.22818056
"16",-51.19375833,-28.05300556
"17",-49.59323889,-28.01608889
"18",-49.87337222,-27.95617222
"19",-50.51028333,-27.93943333
"20",-50.09766667,-27.92391111
"21",-50.76004722,-27.89803611
"22",-49.77586389,-27.85968889
"23",-50.32635556,-27.81546389
"24",-49.48748056,-27.79949167
"25",-50.86776111,-27.7947
"26",-49.94317778,-27.74571389
"27",-51.19593333,-27.74289722
"28",-49.99732778,-27.69803333
"29",-50.57379722,-27.66068611
"30",-50.36212778,-27.58856667
"31",-50.15820833,-27.58351111
"32",-50.37686944,-27.48400556
"33",-50.12380833,-27.47975278
"34",-49.36969167,-27.4575
"35",-51.23627778,-27.39476111
"36",-52.02636389,-27.23397222
"37",-53.26466,-27.158735
"38",-52.175,-27.08611111
"39",-52.77835278,-27.08425
"40",-52.13277778,-27.0575
"41",-51.95766667,-27.03511389
"42",-51.90201667,-27.02968333
"43",-52.16611111,-27.0275
"44",-51.01666667,-27.01666667
"45",-52.18943056,-27.00055278
"46",-51.73501667,-26.99984444
"47",-53.39061,-26.994311
"48",-52.00882222,-26.87793056
"49",-52.00836667,-26.87535556
"50",-50.91666667,-26.85
"51",-52.05982222,-26.79180833
"52",-51.60444444,-26.58305556
"53",-51.97057222,-26.493875
"54",-51.306225,-26.42807222
"55",-51.37472222,-26.39305556
"56",-50.29938056,-26.12411389
"57",-51.41392,-26.096854
"58",-49.79668333,-26.08528611
"59",-52.39594,-26.02
"60",-52.04846944,-25.57606111
"61",-49.26538333,-25.42442778
"62",-50.54418333,-25.40924167
"63",-51.92528,-25.38882
"64",-51.468725,-25.36775278
"65",-49.23333333,-25.33333333
"66",-49.15711111,-25.31983333
"67",-49.18554444,-24.68645833
"68",-51.9375,-24.43388889
"69",-52.02154,-24.237851
"70",-49.33684444,-24.2293
"71",-48.90318611,-24.12619167
"72",-50.18716389,-23.84083056
"73",-50.40903056,-23.83499722
"74",-46.10035,-22.76158611
"75",-45.59634722,-22.74292778
"76",-45.925,-22.70833333
"77",-45.206775,-22.60158056
"78",-44.73583889,-22.55730278
"79",-44.63333333,-22.36666667
"80",-51.81861,-26.79861
"81",-51.86083,-26.80111
"82",-51.97528,-26.76056
"83",-51.865,-26.78611
"84",-52.0225,-26.81528
"85",-51.80667,-26.82667
"86",-51.96556,-26.75389
"87",-51.935,-26.70194
"88",-51.97833,-26.83139
"89",-51.98861,-26.83472
"90",-51.93389,-26.72472
"91",-49.63097,-28.13991
"92",-49.63358,-28.15519
"93",-49.63946,-28.15463
"94",-49.48942,-28.11458
"95",-49.50261,-28.1069
"96",-49.5073,-28.0813
"97",-49.3746,-28.00789
"98",-49.37294,-28.00357
"99",-49.36899,-27.99919
"100",-49.44243,-27.8971
"101",-49.39246,-27.90066
"102",-49.39031,-27.90049
"103",-50.29334,-28.04294
"104",-50.29504,-28.04667
"105",-50.29494,-28.04956
"106",-49.23638889,-25.45305556
"107",-49.19472222,-25.51
"108",-51.01166667,-26.77444444
"109",-50.58416667,-27.28305556
"110",-50.30777778,-26.16277778
"111",-49.62416667,-27.01611111
"112",-49.80555556,-26.12166667
"113",-49.40583333,-23.59138889
"114",-51.45861111,-25.38305556
"115",-51.63777778,-25.70472222
"116",-50.40083333,-26.95916667
"117",-50.44333333,-27.15027778
"118",-50.37638889,-26.20305556
"119",-49.62888889,-26.15111111
"120",-49.90222222,-26.34666667
"121",-50.17444,-29.48083
"122",-50.57556,-29.42056
"123",-51.24954,-29.27623
"124",-49.48611,-28.93528
"125",-49.94767,-28.439
"126",-49.94778,-28.43889
"127",-49.39732194,-28.39702027
"128",-50.55167,-28.34806
"129",-49.91666,-28.3
"130",-49.76908,-28.26053
"131",-50.67011,-28.26019
"132",-49.49833,-28.08278
"133",-50.84972,-28.035
"134",-49.82207,-28.02516
"135",-49.49194,-28.01306
"136",-50.80361,-27.98889
"137",-50.1275,-27.9275
"138",-51.155,-27.90139
"139",-49.79089,-27.90072
"140",-50.34694,-27.83278
"141",-51.24056,-27.82694
"142",-50.32648464,-27.82000884
"143",-49.48982509,-27.80111257
"144",-49.41083,-27.62917
"145",-50.80486,-27.48511
"146",-50.80559,-27.48451
"147",-50.8063,-27.48404
"148",-51.22472,-27.40167
"149",-51.56778,-27.36111
"150",-55.53,-27.32
"151",-55.53333,-27.31666
"152",-50.58528,-27.28333
"153",-49.64373269,-27.21830456
"154",-51.66247403,-27.07469264
"155",-51,-27
"156",-50.4273865,-26.96469766
"157",-51.38831,-26.90733
"158",-49.07914,-26.9055
"159",-50.964,-26.86122
"160",-54.13333,-26.65
"161",-54.13,-26.65
"162",-54.09985,-26.63014
"163",-51.40056,-26.54611
"164",-51.99139302,-26.48828344
"165",-49.51234,-26.4321
"166",-52.7951,-26.4284
"167",-49.68611,-26.3675
"168",-48.84389,-26.30139
"169",-49.30444,-26.25556
"170",-50.39037926,-26.18108767
"171",-50.30806,-26.11583
"172",-50.32257411,-26.11058705
"173",-53.76666,-26.03333
"174",-53.77,-26.03
"175",-49.19949459,-25.93218959
"176",-48.8347669,-25.48078485
"177",-50.65149336,-25.47107691
"178",-49.65361,-25.46889
"179",-49.23694,-25.44278
"180",-49.99864,-25.41969
"181",-49.26667,-25.41667
"182",-49.11492,-25.40189
"183",-49.25983,-25.39753
"184",-49.12072,-25.38286
"185",-49.12539,-25.38119
"186",-49.26017,-25.36431
"187",-53.96583,-25.33111
"188",-49.16305,-25.325
"189",-49.16778,-25.32278
"190",-49.15917,-25.32194
"191",-49.15861,-25.31583
"192",-53.15756483,-25.20716011
"193",-51.57261,-25.06989
"194",-51.5645,-25.04356
"195",-52,-25
"196",-52.30986,-24.20614
"197",-50.30842,-24.14306
"198",-52.3,-24.1
"199",-52.36075,-24.04861
"200",-52.35992,-24.01689
"201",-46.7725,-23.66306
"202",-48.75111,-23.56806
"203",-46.63040635,-23.54416359
"204",-46.91878,-23.23011
"205",-45.31,-23.2217
"206",-48.80333,-22.99611
"207",-45.59033244,-22.7338533
"208",-45.31972,-22.58194
"209",-45.31958,-22.58192
"210",-43.0084,-22.5309
"211",-45.26639,-22.52667
"212",-45.28,-22.50889
"213",-44.56336132,-22.49995142
"214",-58.80528,-27.49861
"215",-54.87,-29.18
"216",-54,-30
"217",-53.11406,-30.89928
"218",-52.55722,-30.56417
"219",-51.23722,-30.01914
"220",-49.409888,-27.735083
"221",-49.336113,-27.685833
"222",-49.40788,-27.6628
"223",-50.04889,-27.62254
"224",-50.58593,-27.82932
"225",-50.157349,-27.928608
"226",-50.08415,-27.83988
"227",-49.864977,-28.197363
"228",-49.66965,-28.17892
"229",-49.935266,-27.952589
"230",-49.932174,-27.921074
"231",-49.28643,-27.37968
"232",-49.27344,-27.35562
"233",-49.28835,-27.37754
"234",-49.27767,-27.38451
"235",-49.27887,-27.38657
"236",-49.28374,-27.38474
"237",-49.35837,-28.01104
"238",-49.38915,-28.04239
"239",-49.41075,-27.57692
"240",-49.986594,-27.921392
"241",-50.2609,-28.11889
"242",-50.26646,-28.12881
"243",-50.21264,-28.13401
"244",-50.5886,-27.82885
"245",-50.55966,-27.78782
"246",-50.043168,-27.784397
"247",-50.06776,-27.73098
"248",-50.53781,-27.83484
"249",-50.53272,-27.83392
"250",-50.53272,-27.83392
"251",-50.041334,-27.744022
"252",-52.36268,-26.39907
"253",-52.252041,-26.456564
"254",-52.05913,-26.483673
"255",-50.24818,-27.78141
"256",-50.06924,-27.72948
"257",-50.02006,-27.73733
"258",-50.02285,-27.43492
"259",-49.53722,-27.44433
"260",-50.324,-27.50289
"261",-50.32093,-27.5012
"262",-49.53545,-27.4338
"263",-49.53428,-27.44542
"264",-50.34625,-29.50107
"265",-50.37092,-29.47235
"266",-49.87515,-27.95456
"267",-49.937843,-27.8925
"268",-49.89768,-27.89012
"269",-49.98636,-27.88154
"270",-50.55036,-27.84093
"271",-49.95931,-28.010564
"272",-49.99605,-28.070176
"273",-49.92783,-27.89202
"274",-51.7706,-25.95057
"275",-51.7706,-25.95057
"276",-49.87744,-27.95473
"277",-49.93977,-27.92812
"278",-49.91698,-27.90365
"279",-49.9089,-27.90465
"280",-49.95851,-27.95796
"281",-49.64228,-27.95995
"282",-49.64228,-27.95995
"283",-49.5748,-28.07428
"284",-49.573874,-28.053239
"285",-49.76484,-27.868911
"286",-49.62426,-27.97917
"287",-49.6393,-27.9859
"288",-50.56938,-29.038987
"289",-51.27429,-28.78151
"290",-50.6554,-29.41994
"291",-46.565278,-21.855556
"292",-44.678942,-22.756417
"293",-53.857728,-25.217367
"294",-51.145928,-29.159692
"295",-51.959839,-26.795881
"296",-44.804992,-22.353886
"297",-44.599492,-22.324033
"298",-44.8075,-22.372778
"299",-44.8075,-22.372778
"300",-44.8075,-22.372778
"301",-49.3721,-28.015181
"302",-49.372378,-28.014814
"303",-49.372731,-28.014383
"304",-49.373294,-28.013839
"305",-49.373644,-28.013411
"306",-49.374356,-28.012617
"307",-49.374617,-28.012161
"308",-49.374869,-28.011503
"309",-49.375058,-28.010889
"310",-49.375272,-28.010394
"311",-49.375678,-28.009389
"312",-49.3758,-28.008828
"313",-49.375622,-28.007942
"314",-49.375692,-28.007194
"315",-49.375103,-28.007097
"316",-49.373875,-28.005831
"317",-49.373536,-28.005442
"318",-49.373467,-28.004947
"319",-49.373525,-28.004428
"320",-49.373503,-28.003869
"321",-49.373036,-28.003375
"322",-49.372064,-28.002483
"323",-49.371417,-28.001989
"324",-49.371003,-28.001497
"325",-49.370506,-28.001156
"326",-49.370064,-28.000853
"327",-49.369678,-28.000447
"328",-49.369083,-27.999789
"329",-49.368947,-27.999292
"330",-49.368942,-27.998717
"331",-49.884619,-27.911294
"332",-49.883964,-27.911372
"333",-49.883675,-27.911814
"334",-49.88285,-27.912017
"335",-49.882336,-27.912528
"336",-49.882425,-27.912967
"337",-49.882625,-27.913422
"338",-49.882678,-27.913903
"339",-49.882131,-27.914283
"340",-49.881542,-27.914714
"341",-49.880925,-27.914906
"342",-49.8799,-27.915397
"343",-49.878239,-27.917389
"344",-49.877494,-27.917575
"345",-49.877319,-27.916725
"346",-49.87585,-27.917864
"347",-49.875503,-27.918278
"348",-49.874897,-27.918217
"349",-49.874194,-27.918186
"350",-49.873667,-27.918197
"351",-49.873047,-27.918472
"352",-49.872328,-27.918564
"353",-49.871814,-27.918339
"354",-49.871289,-27.918453
"355",-49.869964,-27.9185
"356",-49.869514,-27.918817
"357",-49.868867,-27.918678
"358",-49.868208,-27.918036
"359",-49.868175,-27.917456
"360",-49.868158,-27.916944
"361",-50.398703,-27.270931
"362",-50.398689,-27.271522
"363",-50.396681,-27.271417
"364",-50.396792,-27.271997
"365",-50.397392,-27.272581
"366",-50.398056,-27.272497
"367",-50.398683,-27.272867
"368",-50.398669,-27.273406
"369",-50.39805,-27.273614
"370",-50.397419,-27.2738
"371",-50.396528,-27.274003
"372",-50.395956,-27.274153
"373",-50.395542,-27.274242
"374",-50.394881,-27.274411
"375",-50.396194,-27.274939
"376",-50.395803,-27.275464
"377",-50.396839,-27.275494
"378",-50.396214,-27.275783
"379",-50.396008,-27.276242
"380",-50.395522,-27.275975
"381",-50.39515,-27.276328
"382",-50.394961,-27.277383
"383",-50.394556,-27.276356
"384",-50.395117,-27.275519
"385",-50.394767,-27.275097
"386",-50.396744,-27.2728
"387",-50.396467,-27.272303
"388",-50.396244,-27.271808
"389",-50.395711,-27.271953
"390",-50.395617,-27.271397
"391",-49.79975,-28.345453
"392",-49.799458,-28.345806
"393",-49.799136,-28.345556
"394",-49.799097,-28.345142
"395",-49.7985,-28.345333
"396",-49.798183,-28.344933
"397",-49.798333,-28.344581
"398",-49.797864,-28.344622
"399",-49.798017,-28.344194
"400",-49.797419,-28.344133
"401",-49.796947,-28.343814
"402",-49.796686,-28.343525
"403",-49.796486,-28.342903
"404",-49.796144,-28.342281
"405",-49.796833,-28.342125
"406",-49.797428,-28.342122
"407",-49.797825,-28.342747
"408",-49.797158,-28.343086
"409",-49.797814,-28.3434
"410",-49.798164,-28.343883
"411",-49.798922,-28.344003
"412",-49.799567,-28.344172
"413",-49.799967,-28.344725
"414",-49.800394,-28.345733
"415",-49.800322,-28.346311
"416",-49.800106,-28.346842
"417",-49.799911,-28.347283
"418",-49.799344,-28.347683
"419",-49.798947,-28.348036
"420",-49.798478,-28.348156
"421",-49.666097,-28.326925
"422",-49.666108,-28.326456
"423",-49.666628,-28.326211
"424",-49.666992,-28.326564
"425",-49.669806,-28.329808
"426",-49.671147,-28.328547
"427",-49.676864,-28.334339
"428",-49.666611,-28.326994
"429",-49.676436,-28.334056
"430",-49.676058,-28.333789
"431",-49.67545,-28.334067
"432",-49.675064,-28.333506
"433",-49.674881,-28.332953
"434",-49.674225,-28.332789
"435",-49.673842,-28.332467
"436",-49.673469,-28.332131
"437",-49.67325,-28.331697
"438",-49.672886,-28.331325
"439",-49.672656,-28.330822
"440",-49.672175,-28.330853
"441",-49.671872,-28.330419
"442",-49.671497,-28.330697
"443",-49.671183,-28.330311
"444",-49.670664,-28.330114
"445",-49.670256,-28.329125
"446",-49.669719,-28.329278
"447",-49.668936,-28.32925
"448",-49.668867,-28.328653
"449",-49.667925,-28.328475
"450",-49.666986,-28.327242
"451",-49.995714,-28.822986
"452",-49.995353,-28.822578
"453",-49.994922,-28.822178
"454",-49.994678,-28.821778
"455",-49.994497,-28.821275
"456",-49.993931,-28.821
"457",-49.993372,-28.820997
"458",-49.993025,-28.821525
"459",-49.992606,-28.821233
"460",-49.992272,-28.820867
"461",-49.991997,-28.820483
"462",-49.991717,-28.820056
"463",-49.991217,-28.819764
"464",-49.992519,-28.821814
"465",-49.992133,-28.822242
"466",-49.991706,-28.822428
"467",-49.990606,-28.822194
"468",-49.990236,-28.822525
"469",-49.990281,-28.823289
"470",-49.990006,-28.823872
"471",-49.991017,-28.824228
"472",-49.991508,-28.824167
"473",-49.992078,-28.824014
"474",-49.992575,-28.823897
"475",-49.993117,-28.823744
"476",-49.993594,-28.823997
"477",-49.9938,-28.823569
"478",-49.994331,-28.823631
"479",-49.994867,-28.823753
